score_set,subtype_id,coverage,mean_delta_pp,cell_count,paired_observations,n01,n10
baseline,simp_trad,all,55.2264,20,958,536,7
baseline,simp_trad,seen,65.3750,20,638,420,3
baseline,simp_trad,unseen,35.0000,20,320,116,4
baseline,ocr_confusable,all,65.2603,20,474,312,3
baseline,ocr_confusable,seen,66.7292,20,315,211,1
baseline,ocr_confusable,unseen,62.3214,20,159,101,2
baseline,full_half_width,all,1.4583,20,470,13,6
baseline,full_half_width,seen,0.9375,20,311,5,2
baseline,full_half_width,unseen,2.5000,20,159,8,4
sccp_strict,simp_trad,all,0.0000,20,958,9,9
sccp_strict,simp_trad,seen,0.0000,20,638,0,0
sccp_strict,simp_trad,unseen,0.0000,20,320,9,9
sccp_strict,ocr_confusable,all,14.3583,20,474,70,2
sccp_strict,ocr_confusable,seen,3.4375,20,315,11,0
sccp_strict,ocr_confusable,unseen,35.8929,20,159,59,2
sccp_strict,full_half_width,all,0.8333,20,470,8,4
sccp_strict,full_half_width,seen,0.0000,20,311,0,0
sccp_strict,full_half_width,unseen,2.5000,20,159,8,4
